,desc,perc,selectionID,sport,temp,time,topBottom,win
7,WTA Stanford - Semifinal (Varvara Lepchenko v. #4 Karolina Pliskova): What will be the match result?,55.8,unselectable,Tennis,Cold,2015-08-08 15:10:00,Top,No
8,MLB: Who will WIN this matchup?,61.4,unselectable,MLB,Cold,2015-08-08 16:05:00,Bottom,Yes
9,MLB: Who will WIN this matchup?,79.8,unselectable,MLB,Cold,2015-08-08 16:05:00,Bottom,Yes
10,MLB: Who will WIN this matchup?,97.4,unselectable,MLB,Warm,2015-08-08 16:05:00,Top,No
11,Major League Soccer: What will be the match result?,81.8,unselectable,Soccer,Warmer,2015-08-08 16:09:07,Top,No
12,MLB: Who will WIN this matchup?,52.8,unselectable,MLB,Cold,2015-08-08 16:10:00,Bottom,Yes
13,"2015 Whitney Handicap (Saratoga Springs, NY): Which horse will WIN the race? ",74.5,unselectable,Horse,Warmer,2015-08-08 17:46:00,Bottom,Yes
14,MLB: Who will WIN this matchup?,94.9,unselectable,MLB,Warm,2015-08-08 18:10:00,Top,No
15,The International Dota 2 Championships - Grand Finals: Who will WIN the championship?,85.2,unselectable,Unknown,Warm,2015-08-08 18:10:00,Top,No
16,MLB: Who will WIN this matchup?,83.8,unselectable,MLB,Cold,2015-08-08 19:08:00,Bottom,Yes
17,MLB: Who will WIN this matchup?,93.0,unselectable,MLB,Warm,2015-08-08 19:10:00,Bottom,Yes
18,MLB: Who will WIN this matchup?,98.6,unselectable,MLB,Warmer,2015-08-08 19:10:00,Top,No
19,MLB: Who will WIN this matchup?,80.1,unselectable,MLB,Cold,2015-08-08 19:10:00,Bottom,Yes
20,ATP Washington D.C. - Semifinal (#8 John Isner v. Steve Johnson): What will be the match result?,54.3,unselectable,Tennis,Cold,2015-08-08 19:10:00,Bottom,Yes
21,WTA Stanford - Semifinal (#8 Elina Svitolina v. #5 Angelique Kerber): What will be the match result?,89.2,unselectable,Tennis,Cold,2015-08-08 19:10:00,Bottom,Yes
22,Major League Soccer: What will be the match result?,82.9,unselectable,Soccer,Warm,2015-08-08 19:35:00,Bottom,Yes
23,Major League Soccer: What will be the match result?,95.8,unselectable,Soccer,Warmer,2015-08-08 20:10:00,Top,No
24,MLB: Who will WIN this matchup?,86.6,unselectable,MLB,Warm,2015-08-08 20:35:00,Bottom,Yes
25,MLB: Who will WIN this matchup?,89.7,unselectable,MLB,Hot,2015-08-08 21:05:00,Bottom,Yes
26,Major League Soccer: What will be the match result?,55.1,unselectable,Soccer,Warm,2015-08-08 21:10:00,Bottom,Yes
27,Major League Soccer: What will be the match result?,91.6,unselectable,Soccer,Hot,2015-08-08 22:09:00,Bottom,Yes
28,"UFC Fight Night (Nashville, TN): Who will WIN this FIGHT?",89.4,unselectable,MMA,Hot,2015-08-09 00:40:00,Top,No
0,English Premier League: What will be the match result?,63.3,unselectable,Soccer,Hot,2015-08-09 08:30:00,Bottom,Yes
1,English Premier League (Liverpool @ Stoke City): How many GOALS will be SCORED in the 2nd Half?,69.8,unselectable,Soccer,Hot,2015-08-09 12:03:00,Top,No
2,MLB: Who will WIN this matchup?,67.0,unselectable,MLB,Warm,2015-08-09 13:05:00,Bottom,Yes
3,MLB: Who will WIN this matchup?,95.4,unselectable,MLB,Warmer,2015-08-09 13:08:00,Bottom,Yes
4,MLB: Who will WIN this matchup?,81.0,unselectable,MLB,Cold,2015-08-09 13:10:00,Bottom,Yes
5,WNBA: Who will WIN this matchup?,77.6,unselectable,WNBA,Warm,2015-08-09 14:00:00,Bottom,Yes
6,MLB: Who will WIN this matchup?,97.9,unselectable,MLB,Hot,2015-08-09 14:10:00,Top,No
7,"NASCAR Cheez-It 355 (Watkins Glen, NY): Will Kevin Harvick record a Top-5 FINISH?",60.8,unselectable,NASCAR,Cold,2015-08-09 14:10:00,Bottom,Yes
8,MLB: Who will WIN this matchup?,95.2,unselectable,MLB,Cold,2015-08-09 14:10:00,Bottom,Yes
9,"WGC-Bridgestone - 4th Rd (Akron, OH): Who will WIN the TOURNAMENT?",76.8,unselectable,Golf,Cold,2015-08-09 14:10:00,Bottom,Yes
10,ATP Washington D.C. - Final (#8 John Isner v. #2 Kei Nishikori): What will be the match result?,91.4,unselectable,Tennis,Hot,2015-08-09 15:10:00,Bottom,Yes
11,MLB: Who will WIN this matchup?,84.1,unselectable,MLB,Warm,2015-08-09 15:37:00,Bottom,Yes
12,MLB: Who will WIN this matchup?,91.5,unselectable,MLB,Cold,2015-08-09 16:05:00,Top,No
